subject,material,onset,apex,offset,apexf,AU,emotion,n_frames,dataset,AU1,AU2,AU4,AU5,AU6,AU7,AU8,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,AU20,AU21,AU22,AU23,AU24,AU25,AU26,AU28,AU30,AU31,AU34,AU38,AU39,AU43,AU45,AU56,AU61,AU63,AU64
01,EP01_12,73,81,91,8,4,tense,19,casme,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP01_13,63,69,77,6,4,tense,15,casme,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP01_5,113,121,133,8,12,happiness,21,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP01_8,67,75,81,8,14,repression,15,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP03_1,79,91,105,12,17,repression,27,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP03_5,55,79,93,24,6+12+13,happiness,39,casme,0,0,0,0.0,1,0,0.0,0,0,0.0,1,1.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP05_2,40,47,82,7,4,tense,43,casme,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP05_4,47,55,81,8,15,repression,35,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP07_1,77,83,85,6,9,disgust,9,casme,0,0,0,0.0,0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP07_10,87,95,105,8,4,tense,19,casme,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP07_11,84,91,100,7,4,tense,17,casme,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP07_7,98,101,113,3,15,disgust,16,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP07_8,99,111,121,12,4,tense,23,casme,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP08_1,21,33,46,12,17,repression,26,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP08_5,91,99,105,8,17,repression,15,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP08_9,23,29,35,6,14,repression,13,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP09_1,99,105,119,6,14,repression,21,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP09_2,39,47,57,8,18,tense,19,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP09_4,83,88,101,5,18,tense,19,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP09_6,83,95,118,12,1+4+9,disgust,36,casme,1,0,1,0.0,0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP11,61,69,85,8,14,repression,25,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP12_1,145,149,159,4,17,repression,15,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP12_3,25,37,58,12,1+2,surprise,34,casme,1,1,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_1,57,61,72,4,18,tense,16,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_2,60,71,76,11,18,tense,17,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_3,59,61,74,2,18,tense,16,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_4,33,42,53,9,18,tense,21,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_5,39,45,59,6,24,repression,21,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_6,119,121,131,2,4,tense,13,casme,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_7,131,142,160,11,4+14,tense,30,casme,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_8,87,91,105,4,14,repression,19,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_9,58,62,69,4,14,repression,12,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01,EP13_10,47,51,69,4,14,repression,23,casme,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
